,temperature_2m,dewpoint_temperature_2m,skin_temperature,surface_net_thermal_radiation_sum
2025-07-18,302.3370946248372,290.50423494974774,306.1041437784831,-10332300
2025-07-19,301.3080857594808,292.05834515889484,304.7789783477783,-9523234
2025-07-20,301.5027160644531,293.14918327331543,305.14225006103516,-8690062
2025-07-21,302.0369186401367,292.3868357340495,305.1842441558838,-9639131
2025-07-22,301.9330183664958,290.9562759399414,306.26175689697266,-10691295
2025-07-23,303.1091054280599,291.2580038706462,307.19574546813965,-10515560
2025-07-24,302.36367162068683,290.694793065389,305.91666412353516,-10953822
2025-07-25,302.91030502319336,294.5483341217041,306.0087585449219,-8656985
2025-07-26,304.10937945048016,294.6842180887858,307.49581209818524,-9442937
2025-07-27,303.61475944519043,294.59530321757,306.93005053202313,-9290966
2025-07-28,302.7348512013753,293.78736114501953,306.1621290842692,-9453436
2025-07-29,302.0061575571696,293.34217007954913,305.29659843444824,-8812082
2025-07-30,300.8884417215983,292.82094446818036,304.3343556722005,-8309864
2025-07-31,301.02555592854816,292.20542399088544,303.9737440745036,-7758830
2025-08-01,301.47842534383136,292.8456687927246,304.1430136362712,-7385659
2025-08-02,301.5755424499512,293.16053517659503,304.68637148539227,-7294527
2025-08-03,301.10610898335773,292.5113042195638,304.76333554585773,-8311944
2025-08-04,301.1074854532878,292.3070748647054,304.63128725687665,-8227628
2025-08-05,300.9282709757487,292.651465733846,304.283878326416,-8276196
2025-08-06,300.94302495320636,292.79065831502277,304.09887250264484,-8742704
2025-08-07,301.11010615030926,291.8638458251953,304.4290650685628,-7910126
2025-08-08,301.5212033589681,292.44224739074707,305.1739552815755,-8023254
2025-08-09,302.10726737976074,292.05138142903644,305.965363184611,-9403188
2025-08-10,304.10322125752765,292.9313799540202,308.46752039591473,-9093003
2025-08-11,304.18585141499835,293.08504931132,308.35110664367676,-9102962
2025-08-12,304.5053602854411,292.70360438028973,307.7682361602783,-8747071
2025-08-13,304.4044075012207,292.8973560333252,307.59191703796387,-8946388
2025-08-14,304.3255144755046,292.090524037679,307.14912668863934,-9416982
2025-08-15,303.4540316263835,293.61458587646484,306.2570044199626,-8987655
2025-08-16,301.90473556518555,293.0594069163005,304.9044990539551,-8265057
2025-08-17,301.2748095194499,292.1382605234782,304.2147897084554,-8530696
2025-08-18,302.405792872111,291.59891573588055,305.70639355977374,-8912494
2025-08-19,304.05152829488117,290.7020791371663,308.0827267964681,-9216584
2025-08-20,302.1006342569987,292.76338450113934,304.96705055236816,-8665980
2025-08-21,301.78486824035645,292.94910621643066,304.5703067779541,-8661720
2025-08-22,301.8582394917806,293.13485018412274,305.1088581085205,-8990024
2025-08-23,302.43155034383136,292.2362238566081,305.35636075337726,-9804379
2025-08-24,302.660151163737,293.5289700826009,305.5522683461507,-9274645
2025-08-25,301.6539363861084,291.9904327392578,304.1283887227376,-8842625
2025-08-26,300.73743629455566,291.861759185791,303.2860870361328,-8375004
2025-08-27,300.72300211588544,290.07545534769696,303.0512402852376,-8952914
2025-08-28,300.1844832102458,290.60279210408527,303.5449988047282,-8552435
2025-08-29,301.0232073465983,290.56989733378094,304.2076581319173,-8957781
2025-08-30,300.70427322387695,291.52453358968097,303.9596138000488,-9091327
2025-08-31,301.50207964579266,290.3731333414714,304.4995422363281,-9900439
2025-09-01,301.29175059000653,291.1982727050781,303.6924107869466,-9093951
2025-09-02,301.4043420155843,293.4251225789388,304.0410238901774,-7758152
2025-09-03,300.5895875295003,291.70588811238605,302.82754453023273,-8585460
2025-09-04,301.02890332539874,293.316795984904,303.60348828633624,-7828269
2025-09-05,301.3363145192464,292.55421511332196,304.38562393188477,-8840406
2025-09-06,300.0851682027181,292.0358409881592,303.0182914733887,-7951443
2025-09-07,299.91727447509766,291.60278002421063,302.0019175211589,-7115023
2025-09-08,299.64343007405597,290.0829887390137,301.96740468343097,-7717355
2025-09-09,299.22154172261554,289.5880006154378,301.62169392903644,-7934035
2025-09-10,299.51440811157227,290.0458749135335,301.80998102823895,-7707450
2025-09-11,300.03030586242676,291.00282033284503,302.731595993042,-8671434
2025-09-12,300.49370829264325,290.87477048238117,303.5500742594401,-9539430
2025-09-13,300.7713031768799,291.3821506500244,303.7589747111003,-9638441
2025-09-14,300.9822800954183,292.0827217102051,303.17990557352704,-8926469
2025-09-15,299.68414243062335,292.054100672404,302.1944185892741,-8369115
2025-09-16,299.55043029785156,291.2848930358887,301.7660331726074,-7243393
2025-09-17,300.10246022542316,292.1635214487712,302.82741673787433,-8057039
2025-09-18,300.17036628723145,291.2859414418538,302.41677792867023,-8743694
2025-09-19,299.88158162434894,292.129337310791,301.9067675272624,-7973334
2025-09-20,299.85864957173663,290.459264755249,301.8480625152588,-6982039
2025-09-21,298.7436269124349,288.3266779581706,300.9574082692464,-8253166
2025-09-22,298.36999766031903,288.5200614929199,301.18364334106445,-8747278
2025-09-23,298.99870045979816,289.8427728017171,301.90131759643555,-8518282
2025-09-24,298.297394434611,289.1990331013997,300.1625893910726,-7706950
2025-09-25,298.4281298319499,288.7254130045573,300.65084584554035,-7939261
2025-09-26,299.04406293233234,290.4232006072998,301.25827089945477,-7628050
2025-09-27,298.6374117533366,290.6113624572754,301.2855396270752,-8240503
2025-09-28,298.1283950805664,290.11999766031903,300.70996348063153,-8233292
2025-09-29,298.5780900319417,289.97786776224774,300.77514902750653,-8545882
2025-09-30,298.90210088094074,290.6094659169515,301.0074933369954,-8035828
2025-10-01,298.16555468241376,288.6570873260498,300.57747077941895,-8597952
2025-10-02,299.9569269816081,287.37831115722656,302.08827273050946,-8701834
2025-10-03,299.2132339477539,290.3269278208415,301.0432586669922,-8041534
2025-10-04,299.16194279988605,289.6334851582845,301.48338508605957,-7983010
2025-10-05,297.77660751342773,289.55626742045087,299.76569684346515,-6753792
2025-10-06,297.02769152323407,287.42801094055176,299.3140303293864,-8081946
2025-10-07,298.3214480082194,286.491263071696,300.1134573618571,-8519328
2025-10-08,297.2685082753499,287.936372756958,299.1334164937337,-7504196
2025-10-09,295.7786382039388,286.893596013387,297.247355779012,-7314446
2025-10-10,295.4270668029785,286.34858894348145,296.70262209574383,-6249634
2025-10-11,296.07478523254395,286.36019706726074,297.47436205546063,-6417018
2025-10-12,296.0568377176921,286.5022277832031,297.3170274098714,-6877048
2025-10-13,295.99727121988934,284.860933303833,297.9703903198242,-8340810
2025-10-14,295.33335940043133,285.3432102203369,297.02652740478516,-8347848
2025-10-15,294.9898459116618,285.51645787556964,296.617462793986,-7685348
2025-10-16,295.16566212972003,286.1176191965739,296.8030834197998,-8126358
2025-10-17,295.16229311625165,286.1192169189453,296.90916379292804,-8716026
2025-10-18,295.43577766418457,286.4957167307536,296.80070241292316,-8536678
2025-10-19,296.2946039835612,287.92911529541016,297.6473579406738,-8348796
2025-10-20,297.3888295491536,288.3555425008138,299.2099386850993,-8702668
2025-10-21,297.97414271036786,288.6993001302083,299.2880999247233,-8697316
2025-10-22,299.0486297607422,287.30467859903973,300.0790678660075,-9098616
2025-10-23,297.98122215270996,289.56866518656415,299.92126083374023,-8807066
2025-10-24,296.9921175638835,288.5939299265544,299.09355036417645,-7532184
